Taxa	Common Name	Scientific Name
Mammal	Morro Bay Kangaroo Rat	Dipodomys heermanni morroensis
Mammal	Heermann's Kangaroo Rat	Dipodomys heermanni
Mammal	Hoary Bat	Lasiurus cinereus
Mammal	Hopi Chipmunk	Tamias rufus
Mammal	Hoary Marmot	Marmota caligata
Mammal	House Mouse	Mus musculus
Mammal	Horse	Equus caballus
Mammal	Hooded Skunk	Mephitis macroura
Mammal	Hispid Pocket Mouse	Chaetodipus hispidus
Mammal	Hairy-tailed Mole	Parascalops breweri
Mammal	Northern Idaho Ground Squirrel	Urocitellus brunneus brunneus
Mammal	Southern Idaho Ground Squirrel	Urocitellus brunneus endemicus
Mammal	Idaho Ground Squirrel	Urocitellus brunneus
Mammal	Indiana Myotis	Myotis sodalis
Mammal	Inyo Shrew	Sorex tenellus
Mammal	Idaho Pocket Gopher	Thomomys idahoensis
Mammal	Santa Catalina Island Fox	Urocyon littoralis catalinae
Mammal	San Nicolas Island Fox	Urocyon littoralis dickeyi
Mammal	San Clemente Island Fox	Urocyon littoralis clementae
Mammal	Santa Rosa Island Fox	Urocyon littoralis santarosae
Mammal	Santa Cruz Island Fox	Urocyon littoralis santacruzae
Mammal	Island Fox	Urocyon littoralis
Mammal	Gulf Coast Jaguarundi	Puma yagouaroundi cacomitli
Mammal	Jaguarundi	Puma yagouarondi
Mammal	Jaguar	Panthera onca
Mammal	Jamaican Fruit-eating Bat	Artibeus jamaicensis
Mammal	Keen's Myotis	Myotis keenii
Mammal	Kit Fox-San Joaquin Valley Population	Vulpes macrotis mutica
Mammal	Kit Fox	Vulpes macrotis
Mammal	Knox Jones's Pocket Gopher	Geomys knoxjonesi
Mammal	Little Brown Myotis	Myotis lucifugus
Mammal	White Mountains Chipmunk	Tamias minimus arizonensis
Mammal	Chuska Mountain Chipmunk	Tamias minimus chuskaensis
Mammal	Penasco Chipmunk	Tamias minimus atristriatus
Mammal	Least Chipmunk	Tamias minimus
Mammal	Long-eared Myotis	Myotis evotis
Mammal	Least Weasel	Mustela nivalis
Mammal	Long-legged Myotis	Myotis volans
Mammal	Mt. Pinos Lodgepole Chipmunk	Tamias speciosus callipeplus
Mammal	Lodgepole Chipmunk	Tamias speciosus
Mammal	Long-eared Chipmunk	Tamias quadrimaculatus
Mammal	Pacific Pocket Mouse	Perognathus longimembris pacificus
Mammal	Little Pocket Mouse	Perognathus longimembris
Mammal	Long-tailed Pocket Mouse	Chaetodipus formosus
Mammal	Long-tailed Shrew	Sorex dispar
Mammal	White-bellied Vole	Microtus longicaudus leucophaeus
Mammal	Long-tailed Vole	Microtus longicaudus
Mammal	Long-tailed Weasel	Mustela frenata
Mammal	Key Oryzomys	Oryzomys palustris natator
Mammal	Marsh Oryzomys	Oryzomys palustris
Mammal	Lower Keys Rabbit	Sylvilagus palustris hefneri
Mammal	Marsh Rabbit	Sylvilagus palustris
Mammal	Merriam's Deermouse	Peromyscus merriami
Mammal	Merriam's Shrew	Sorex merriami
Mammal	Mexican Ground Squirrel	Ictidomys mexicanus
Mammal	Duke's Salt Marsh Vole	Microtus pennsylvanicus dukecampbelli
Mammal	Meadow Vole	Microtus pennsylvanicus
Mammal	Mexican Woodrat	Neotoma mexicana
Mammal	Mexican Fox Squirrel	Sciurus nayaritensis
Mammal	Mexican Free-tailed Bat	Tadarida brasiliensis
Mammal	Merriam's Ground Squirrel	Urocitellus canus
Mammal	Mogollon Vole	Microtus mogollonensis
Mammal	Meadow Jumping Mouse	Zapus hudsonius
Mammal	Merriam's Kangaroo Rat	Dipodomys merriami
Mammal	Mexican Long-nosed Bat	Leptonycteris nivalis
Mammal	Mt. Lyell Shrew	Sorex lyelli
Mammal	Mexican Long-tongued Bat	Choeronycteris mexicana
Mammal	Merriam's Chipmunk	Tamias merriami
Mammal	Mountain Cottontail	Sylvilagus nuttallii
Mammal	Mountain Goat	Oreamnos americanus
Mammal	Moose	Alces americanus
Mammal	Mohave Ground Squirrel	Xerospermophilus mohavensis
Mammal	Arizona Montane Vole	Microtus montanus arizonensis
Mammal	Pahranagat Valley Vole	Microtus montanus fucosus
Mammal	Ash Meadows Montane Vole	Microtus montanus nevadensis
Mammal	Montane Vole	Microtus montanus
Mammal	Mountain Pocket Gopher	Thomomys monticola
Mammal	Merriam's Pocket Mouse	Perognathus merriami
Mammal	Marsh Shrew	Sorex bendirii
Mammal	Mexican Spiny Pocket Mouse	Liomys irroratus
Mammal	Mule Deer	Odocoileus hemionus
Mammal	North American Deermouse	Peromyscus maniculatus
Mammal	North American Least Shrew	Cryptotis parva
Mammal	North American Porcupine	Erethizon dorsata
Mammal	North American River Otter	Lontra canadensis
Mammal	Nelson's Antelope Squirrel	Ammospermophilus nelsoni
Mammal	North American Water Vole	Microtus richardsoni
Mammal	Nine-banded Armadillo	Dasypus novemcinctus
Mammal	Northern Baja Deermouse	Peromyscus fraterculus
Mammal	Northern Bog Lemming	Synaptomys borealis
Mammal	Northern Elephant Seal	Mirounga angustirostris
Mammal	Narrow-faced Kangaroo Rat	Dipodomys venustus
Mammal	Northern Fur Seal	Callorhinus ursinus
Mammal	San Bernardino Flying Squirrel	Glaucomys sabrinus californicus
Mammal	Virginia Northern Flying Squirrel	Glaucomys sabrinus fuscus
Mammal	Carolina Northern Flying Squirrel	Glaucomys sabrinus coloratus
Mammal	Northern Flying Squirrel	Glaucomys sabrinus
Mammal	New England Cottontail	Sylvilagus transitionalis
Mammal	Northern Grasshopper Mouse	Onychomys leucogaster
Mammal	New Mexico Shrew	Sorex neomexicanus
Mammal	Northwestern Deermouse	Peromyscus keeni
Mammal	Northern Myotis	Myotis septentrionalis
Mammal	Northern Short-tailed Shrew	Blarina brevicauda
Mammal	Northern Pocket Gopher	Thomomys talpoides
Mammal	Nelson's Pocket Mouse	Chaetodipus nelsoni
Mammal	Northern Pygmy Mouse	Baiomys taylori
Mammal	Northern Rock Deermouse	Peromyscus nasutus
Mammal	Northern Yellow Bat	Lasiurus intermedius
Mammal	Olive-backed Pocket Mouse	Perognathus fasciatus
Mammal	Ocelot	Leopardus pardalis
Mammal	Ord's Kangaroo Rat	Dipodomys ordii
Mammal	Choctawhatchee Beach Deermouse	Peromyscus polionotus allophrys
Mammal	Anastasia Beach Deermouse	Peromyscus polionotus phasma
Mammal	Santa Rosa Beach Deermouse	Peromyscus polionotus leucocephalus
Mammal	Alabama Beach Deermouse	Peromyscus polionotus ammobates
Mammal	Southeast Beach Deermouse	Peromyscus polionotus niveiventris
Mammal	St. Andrews Beach Deermouse	Peromyscus polionotus peninsularis
Mammal	Perdido Key Beach Deermouse	Peromyscus polionotus trissyllepsis
Mammal	Oldfield Deermouse	Peromyscus polionotus
Mammal	Olympic Marmot	Marmota olympus
Mammal	Salt Marsh Ornate Shrew	Sorex ornatus sinuosus
Mammal	Suisun Shrew	Sorex ornatus sinuosus
Mammal	Buena Vista Lake Shrew	Sorex ornatus relictus
Mammal	Monterey Ornate Shrew	Sorex ornatus salarius
Mammal	Santa Catalina Shrew	Sorex ornatus willetti
Mammal	Ornate Shrew	Sorex ornatus
Mammal	Pallid Bat	Antrozous pallidus
Mammal	Palmer's Chipmunk	Tamias palmeri
Mammal	Pacific Shrew (cascadensis)	Sorex pacificus cascadensis
Mammal	Pacific Shrew (pacificus)	Sorex pacificus pacificus
Mammal	Pacific Shrew	Sorex pacificus
Mammal	Preble's Shrew	Sorex preblei
Mammal	Pocketed Free-tailed Bat	Nyctinomops femorosaccus
Mammal	Peters's Ghost-faced Bat	Mormoops megalophylla
Mammal	Piute Ground Squirrel	Urocitellus mollis
Mammal	Plains Harvest Mouse	Reithrodontomys montanus
Mammal	Palo Duro Deermouse	Peromyscus truei comanche
Mammal	Pinon Deermouse	Peromyscus truei
Mammal	American Pika	Ochotona princeps
Mammal	Pacific Jumping Mouse	Zapus trinotatus
Mammal	Pale Kangaroo Mouse	Microdipodops pallidus
Mammal	Panamint Kangaroo Rat	Dipodomys panamintinus
Mammal	Pallas's Mastiff Bat	Molossus molossus
Mammal	Panamint Chipmunk	Tamias panamintinus
Mammal	Plains Pocket Gopher	Geomys bursarius
Mammal	Plains Pocket Mouse	Perognathus flavescens
Mammal	Sonoran Pronghorn	Antilocapra americana sonoriensis
Mammal	Pronghorn	Antilocapra americana
Mammal	Prairie Shrew	Sorex haydeni
Mammal	Prairie Vole	Microtus ochrogaster taylori
Mammal	Prairie Vole	Microtus ochrogaster
Mammal	Black-tailed Prairie Dog	Cynomys ludovicianus
Mammal	Pygmy Rabbit (Columbia Basin Population)	Brachylagus idahoensis pop. 2
Mammal	Pygmy Rabbit	Brachylagus idahoensis
Mammal	Raccoon	Procyon lotor
Mammal	Rafinesque's Big-eared Bat	Corynorhinus rafinesquii
Mammal	Red-bellied Squirrel	Sciurus aureogaster
Mammal	Sierra Nevada Red Fox	Vulpes vulpes necator
Mammal	Red Fox	Vulpes vulpes
Mammal	Mt. Graham Red Squirrel	Tamiasciurus hudsonicus grahamensis
Mammal	Red Squirrel	Tamiasciurus hudsonicus
Mammal	Richardson's Ground Squirrel	Urocitellus richardsonii
Mammal	Ringtail	Bassariscus astutus
Mammal	Robust Cottontail	Sylvilagus robustus
Mammal	Roof Rat	Rattus rattus
Mammal	Rock Squirrel	Otospermophilus variegatus
Mammal	Southern Rock Vole	Microtus chrotorrhinus carolinensis
Mammal	Rock Vole	Microtus chrotorrhinus
Mammal	Rock Pocket Mouse	Chaetodipus intermedius
Mammal	Red-tailed Chipmunk	Tamias ruficaudus
Mammal	Round-tailed Ground Squirrel	Xerospermophilus tereticaudus
Mammal	Round-tailed Muskrat	Neofiber alleni
Mammal	Red Tree Vole	Arborimus longicaudus
Mammal	South American Coati	Nasua narica
Mammal	Saxicoline Deermouse	Peromyscus gratus
Mammal	Sambar	Rusa unicolor
Mammal	Sagebrush Vole	Lemmiscus curtatus
Mammal	Southern Bog Lemming	Synaptomys cooperi
Mammal	San Diego Pocket Mouse	Chaetodipus fallax
Mammal	Seminole Bat	Lasiurus seminolus
Mammal	Southeastern Pocket Gopher	Geomys pinetis
Mammal	Southeastern Myotis	Myotis austroriparius
Mammal	Sea Otter	Enhydra lutris
Mammal	Mountain Beaver pacifica	Aplodontia rufa pacifica
Mammal	Sierra Nevada Mountain Beaver	Aplodontia rufa californica
Mammal	Mountain Beaver humboldtiana	Aplodontia rufa humboldtiana
Mammal	Point Arena Mountain Beaver	Aplodontia rufa nigra
Mammal	Olympic Mountain Beaver	Aplodontia rufa olympica
Mammal	Point Reyes Mountain Beaver	Aplodontia rufa phaea
Mammal	Coastal Mountain Beaver	Aplodontia rufa rufa
Mammal	Sewellel	Aplodontia rufa
Mammal	Southern Flying Squirrel	Glaucomys volans
Mammal	Southern Grasshopper Mouse	Onychomys torridus
Mammal	Spotted Ground Squirrel	Xerospermophilus spilosoma
Mammal	Silver-haired Bat	Lasionycteris noctivagans
Mammal	Shadow Chipmunk	Tamias senex
Mammal	Shrew-mole	Neurotrichus gibbsii
Mammal	Siskiyou Chipmunk	Tamias siskiyou
Mammal	Sika	Cervus nippon
Mammal	Fresno Kangaroo Rat	Dipodomys nitratoides exilis
Mammal	Tipton Kangaroo Rat	Dipodomys nitratoides nitratoides
Mammal	San Joaquin Kangaroo Rat	Dipodomys nitratoides
Mammal	San Joaquin Pocket Mouse	Perognathus inornatus
Mammal	Stephen's Kangaroo Rat	Dipodomys stephensi
Mammal	Silky Pocket Mouse	Perognathus flavus
Mammal	Salt-marsh Harvest Mouse	Reithrodontomys raviventris
Mammal	Smoky Shrew	Sorex fumeus
Mammal	Snowshoe Hare	Lepus americanus
Mammal	Star-nosed Mole	Condylura cristata
Mammal	Sonoma Chipmunk	Tamias sonomae
Mammal	Southern Short-tailed Shrew	Blarina carolinensis
Mammal	Spotted Bat	Euderma maculatum
Mammal	Animas Southern Pocket Gopher	Thomomys umbrinus emotus
Mammal	Southern Pocket Gopher (intermedius)	Thomomys umbrinus intermedius
Mammal	Southern Pocket Gopher	Thomomys umbrinus
Mammal	Spiny Pocket Mouse	Chaetodipus spinatus
Mammal	Strecker's Pocket Gopher	Geomys streckeri
Mammal	Southeastern Shrew	Sorex longirostris
Mammal	Southern Plains Woodrat	Neotoma micropus
Mammal	Black Hills Red-backed Vole	Myodes gapperi brevicaudus
Mammal	Southern Red-backed Vole	Myodes gapperi
Mammal	Steller Sea Lion	Eumetopias jubatus
Mammal	Striped Skunk	Mephitis mephitis
Mammal	Sonoma Tree Vole	Arborimus pomo
Mammal	Stephen's Woodrat	Neotoma stephensi
Mammal	Swift Fox	Vulpes velox
Mammal	Southwestern Myotis	Myotis auriculus
Mammal	Swamp Rabbit	Sylvilagus aquaticus
Mammal	Southern Yellow Bat	Lasiurus ega
Mammal	Texas Antelope Squirrel	Ammospermophilus interpres
Mammal	Tawny-bellied Cotton Rat	Sigmodon fulviventer
Mammal	Big-eared Bat (australis)	Corynorhinus townsendii australis
Mammal	Ozark Big-eared Bat	Corynorhinus townsendii ingens
Mammal	Pale Lumped-nosed Bat	Corynorhinus townsendii pallescens
Mammal	Townsend's Western Big-eared Bat	Corynorhinus townsendii townsendii
Mammal	Virginia Big-eared Bat	Corynorhinus townsendii virginianus
Mammal	Townsend's Big-eared Bat	Corynorhinus townsendii
Mammal	Townsend's Ground Squirrel	Urocitellus townsendii
Mammal	Texas Kangaroo Rat	Dipodomys elator
Mammal	Thirteen-lined Ground Squirrel	Ictidomys tridecemlineatus
Mammal	Townsend's Chipmunk	Tamias townsendii
Mammal	Townsend's Mole	Scapanus townsendii
Mammal	Shaw Island Vole	Microtus townsendii pugeti
Mammal	Townsend's Vole	Microtus townsendii
Mammal	Townsend's Pocket Gopher	Thomomys townsendii
Mammal	Trowbridge's Shrew	Sorex trowbridgii
Mammal	Texas Deermouse	Peromyscus attwateri
Mammal	Texas Pocket Gopher	Geomys personatus
Mammal	Uinta Ground Squirrel	Urocitellus armatus
Mammal	Uinta Chipmunk	Tamias umbrinus
Mammal	Underwood's Mastiff Bat	Eumops underwoodi
Mammal	Utah Prairie Dog	Cynomys parvidens
Mammal	Saltmarsh Wandering Shrew	Sorex vagrans halicoetes
Mammal	Monterey Vagrant Shrew	Sorex vagrans paludivagus
Mammal	Vagrant Shrew	Sorex vagrans
Mammal	Virginia Opossum	Didelphis virginiana
Mammal	White-ankled Deermouse	Peromyscus pectoralis
Mammal	Washington Ground Squirrel	Urocitellus washingtoni
Mammal	Wagner's Bonneted Bat	Eumops glaucinus
Mammal	Western Jumping Mouse	Zapus princeps
Mammal	Western Pipistrelle	Pipistrellus hesperus
Mammal	White-eared Pocket Mouse	Perognathus alticolus
Mammal	White-footed Deermouse	Peromyscus leucopus
Mammal	White-footed Vole	Arborimus albipes
Mammal	Western Gray Squirrel	Sciurus griseus
Mammal	Western Harvest Mouse	Reithrodontomys megalotis
Mammal	Western Heather Vole	Phenacomys intermedius
Mammal	Wild Boar	Sus scrofa
Mammal	West Indian Manatee	Trichechus manatus
Mammal	Woodland Jumping Mouse	Napaeozapus insignis
Mammal	Wolverine	Gulo gulo
Mammal	Woodchuck	Marmota monax
Mammal	Woodland Vole	Microtus pinetorum
Mammal	Western Pocket Gopher	Thomomys mazama
Mammal	Western Red Bat	Lasiurus blossevillii
Mammal	Western Red-backed Vole	Myodes californicus
Mammal	Western Small-footed Myotis	Myotis ciliolabrum
Mammal	White-sided Jackrabbit	Lepus callotis
Mammal	Western Spotted Skunk	Spilogale gracilis
Mammal	White-tailed Antelope Squirrel	Ammospermophilus leucurus
Mammal	Key Deer	Odocoileus virginianus clavium
Mammal	Columbian White-tailed Deer	Odocoileus virginianus leucurus
Mammal	Blackbeard Island Deer	Odocoileus virginianus nigribarbis
Mammal	White-tailed Deer	Odocoileus virginianus
Mammal	White-throated Woodrat	Neotoma albigula
Mammal	White-tailed Jackrabbit	Lepus townsendii
Mammal	White-tailed Prairie Dog	Cynomys leucurus
Mammal	White-toothed Woodrat	Neotoma leucodon
Mammal	Western Yellow Bat	Lasiurus xanthinus
Mammal	Wyoming Pocket Gopher	Thomomys clusius
Mammal	Wyoming Ground Squirrel (aureus)	Urocitellus elegans aureus
Mammal	Wyoming Ground Squirrel (elegans)	Urocitellus elegans elegans
Mammal	Wyoming Ground Squirrel (nevadensis)	Urocitellus elegans nevadensis
Mammal	Wyoming Ground Squirrel	Urocitellus elegans
Mammal	Yellow-cheeked Chipmunk	Tamias ochrogenys
Mammal	Wet Mountains Marmot	Marmota flaviventris notioros
Mammal	Yellow-bellied Marmot	Marmota flaviventris
Mammal	Yellow-faced Pocket Gopher	Cratogeomys castanops
Mammal	Yellow-nosed Cotton Rat	Sigmodon ochrognathus
Mammal	Yellow-pine Chipmunk (celeris)	Tamias amoenus celeris
Mammal	Yellow-pine Chipmunk	Tamias amoenus
Mammal	Yuma Myotis	Myotis yumanensis
Reptile	Alabama Map Turtle	Graptemys pulchra
Reptile	American Alligator	Alligator mississippiensis
Reptile	Arizona Night Lizard	Xantusia arizonae
Reptile	Aquatic Gartersnake	Thamnophis atratus
Reptile	Alabama Red-bellied Cooter	Pseudemys alabamensis
Reptile	Alligator Snapping Turtle	Macrochelys temminckii
Reptile	Arizona Striped Whiptail	Aspidoscelis arizonae
Reptile	Arizona Mud Turtle	Kinosternon arizonense
Reptile	Baird's Ratsnake	Pantherophis bairdi
Reptile	Baja California Brush Lizard	Urosaurus nigricaudus
Reptile	Baja California Collared Lizard	Crotaphytus vestigium
Reptile	Baja California Coachwhip	Coluber fuliginosus
Reptile	Baja California Ratsnake	Bogertophis rosaliae
Reptile	Blainville's Horned Lizard	Phrynosoma blainvillii
Reptile	Broad-headed Skink	Plestiodon laticeps
Reptile	Black-knobbed Map Turtle	Graptemys nigrinoda
Reptile	Black Swampsnake	Seminatrix pygaea
Reptile	Barbour's Map Turtle	Graptemys barbouri
Reptile	Black-necked Gartersnake	Thamnophis cyrtopsis
Reptile	Bezy's Night Lizard	Xantusia bezyi
Reptile	Blunt-nosed Leopard Lizard	Gambelia sila
Reptile	Bog Turtle	Glyptemys muhlenbergii
Reptile	Banded Rock Lizard	Petrosaurus mearnsi
Reptile	Brown Vinesnake	Oxybelis aeneus
Reptile	Brazos River Watersnake	Nerodia harteri
Reptile	Brown Watersnake	Nerodia taxispilota
Reptile	Black-tailed Rattlesnake	Crotalus molossus
Reptile	Blanding's Turtle	Emydoidea blandingii
Reptile	Butler's Gartersnake	Thamnophis butleri
Reptile	Central American Indigo Snake	Drymarchon melanurus
Reptile	Canyon Lizard	Sceloporus merriami
Reptile	Chihuahuan Black-headed Snake	Tantilla wilcoxi
Reptile	Common Chuckwalla	Sauromalus ater
Reptile	Colorado Checkered Whiptail	Aspidoscelis neotesselata
Reptile	Common Checkered Whiptail	Aspidoscelis tesselata
Reptile	Colorado Desert Fringe-toed Lizard	Uma notata
Reptile	Cat-eyed Snake	Leptodeira septentrionalis
Reptile	Common Five-lined Skink	Plestiodon fasciatus
Reptile	Coachella Fringe-toed Lizard	Uma inornata
Reptile	Checkered Gartersnake	Thamnophis marcianus
Reptile	Chihuahuan Nightsnake	Hypsiglena jani
Reptile	Chihuahuan Hook-nosed Snake	Gyalopion canum
Reptile	Chicken Turtle	Deirochelys reticularia
Reptile	Common Kingsnake	Lampropeltis getula
Reptile	Common Lesser Earless Lizard	Holbrookia maculata
Reptile	California Legless Lizard	Anniella pulchra
Reptile	Cope's Leopard Lizard	Gambelia copeii
Reptile	Clark's Spiny Lizard	Sceloporus clarkii
Reptile	California Mountain Kingsnake	Lampropeltis zonata
Reptile	Cagle's Map Turtle	Graptemys caglei
Reptile	Coast Nightsnake	Hypsiglena ochrorhyncha
Reptile	Coachwhip	Coluber flagellum
Reptile	Common Gartersnake	Thamnophis sirtalis
Reptile	Copperhead	Agkistrodon contortrix
Reptile	Coal Skink	Plestiodon anthracinus
Reptile	Common Sagebrush Lizard	Sceloporus graciosus
Reptile	Cottonmouth	Agkistrodon piscivorus
Reptile	Concho Watersnake	Nerodia paucimaculata
Reptile	American Crocodile	Crocodylus acutus
Reptile	Crevice Spiny Lizard	Sceloporus poinsettii
Reptile	Common Side-blotched Lizard	Uta stansburiana
Reptile	Common Spotted Whiptail	Aspidoscelis gularis
Reptile	Canyon Spotted Whiptail	Aspidoscelis burti
Reptile	Chihuahuan Spotted Whiptail	Aspidoscelis exsanguis
Reptile	Diamond-backed Terrapin	Malaclemys terrapin
Reptile	Diamond-backed Watersnake	Nerodia rhombifer
Reptile	Dekay's Brownsnake	Storeria dekayi
Reptile	Desert Iguana	Dipsosaurus dorsalis
Reptile	Desert Nightsnake	Hypsiglena chlorophaea
Reptile	Desert Tortoise	Gopherus agassizii
Reptile	Desert Grassland Whiptail	Aspidoscelis uniparens
Reptile	Desert Horned Lizard	Phrynosoma platyrhinos
Reptile	Dusty Hog-nosed Snake	Heterodon gloydi
Reptile	Desert Night Lizard	Xantusia vigilis
Reptile	Dunes Sagebrush Lizard	Sceloporus arenicolus
Reptile	Desert Spiny Lizard	Sceloporus magister
Reptile	Eastern Foxsnake	Pantherophis gloydi
Reptile	Eastern Ratsnake	Pantherophis alleghaniensis
Reptile	Eastern Ribbonsnake	Thamnophis sauritus
Reptile	Florida Box Turtle	Terrapene carolina bauri
Reptile	Eastern Box Turtle	Terrapene carolina
Reptile	Eastern Collared Lizard	Crotaphytus collaris
Reptile	Eastern Diamond-backed Rattlesnake	Crotalus adamanteus
Reptile	Elegant Earless Lizard	Holbrookia elegans
Reptile	Eastern Fence Lizard	Sceloporus undulatus
Reptile	Eastern Glass Lizard	Ophisaurus ventralis
Reptile	Eastern Hog-nosed Snake	Heterodon platirhinos
Reptile	Eastern Indigo Snake	Drymarchon couperi
Reptile	Eastern Mud Turtle	Kinosternon subrubrum
Reptile	Eastern Musk Turtle	Sternotherus odoratus
Reptile	Escambia Map Turtle	Graptemys ernsti
Reptile	Eastern Patch-nosed Snake	Salvadora grahamiae
Reptile	Eastern Wormsnake	Carphophis amoenus
Reptile	Florida Crowned Snake	Tantilla relicta
Reptile	Florida Green Watersnake	Nerodia floridana
Reptile	Flat-headed Snake	Tantilla gracilis
Reptile	Florida Brownsnake	Storeria victa
Reptile	Flattened Musk Turtle	Sternotherus depressus
Reptile	Four-lined Skink	Plestiodon tetragrammus
Reptile	Florida Softshell	Apalone ferox
Reptile	Florida Wormlizard	Rhineura floridana
Reptile	False Map Turtle	Graptemys pseudogeographica
Reptile	Florida Red-bellied Cooter	Pseudemys nelsoni
Reptile	Florida Scrub Lizard	Sceloporus woodi
Reptile	Florida Sand Skink	Plestiodon reynoldsi
Reptile	Flat-tailed Horned Lizard	Phrynosoma mcallii
Reptile	Great Basin Collared Lizard	Crotaphytus bicinctores
Reptile	Gray-banded Kingsnake	Lampropeltis alterna
Reptile	Glossy Crayfish Snake	Regina rigida
Reptile	Graham's Crayfish Snake	Regina grahamii
Reptile	Gray Checkered Whiptail	Aspidoscelis dixoni
Reptile	Greater Earless Lizard	Cophosaurus texanus
Reptile	Goode's Horned Lizard	Phrynosoma goodei
Reptile	Giant Gartersnake	Thamnophis gigas
Reptile	Gila Monster	Heloderma suspectum
Reptile	Gilbert's Skink	Plestiodon gilberti
Reptile	Glossy Snake	Arizona elegans
Reptile	Gila Spotted Whiptail	Aspidoscelis flagellicauda
Reptile	Granite Night Lizard	Xantusia henshawi
Reptile	Green Ratsnake	Senticolis triaspis
Reptile	Granite Spiny Lizard	Sceloporus orcutti
Reptile	Gophersnake	Pituophis catenifer
Reptile	Gopher Tortoise	Gopherus polyphemus
Reptile	Great Plains Ratsnake	Pantherophis emoryi
Reptile	Great Plains Skink	Plestiodon obsoletus
Reptile	Graphic Spiny Lizard	Sceloporus grammicus
Reptile	Green Anole	Anolis carolinensis
Reptile	Gray Ratsnake	Pantherophis spiloides
Reptile	Greater Short-horned Lizard	Phrynosoma hernandesi
Reptile	Green Sea Turtle	Chelonia mydas
Reptile	Harlequin Coralsnake	Micrurus fulvius
Reptile	Hawksbill Sea Turtle	Eretmochelys imbricata
Reptile	Island Glass Lizard	Ophisaurus compressus
Reptile	Island Night Lizard	Xantusia riversiana
Reptile	Keeled Earless Lizard	Holbrookia propinqua
Reptile	Kirtland's Snake	Clonophis kirtlandii
Reptile	Kemp's Ridley Sea Turtle	Lepidochelys kempii
Reptile	Laredo Striped Whiptail	Aspidoscelis laredoensis
Reptile	Little Brown Skink	Scincella lateralis
Reptile	Leatherback Sea Turtle	Dermochelys coriacea
Reptile	Lined Snake	Tropidoclonion lineatum
Reptile	Little Striped Whiptail	Aspidoscelis inornata
Reptile	Loggerhead Musk Turtle	Sternotherus minor
Reptile	Long-nosed Leopard Lizard	Gambelia wislizenii
Reptile	Long-nosed Snake	Rhinocheilus lecontei
Reptile	Loggerhead Sea Turtle	Caretta caretta
Reptile	Louisiana Pinesnake	Pituophis ruthveni
Reptile	Long-tailed Brush Lizard	Urosaurus graciosus
Reptile	Little White Whiptail	Aspidoscelis gypsi
Reptile	Madrean Alligator Lizard	Elgaria kingii
Reptile	Massasauga	Sistrurus catenatus
Reptile	Mexican Black-headed Snake	Tantilla atriceps
Reptile	Mexican Gartersnake	Thamnophis eques
Reptile	Mohave Fringe-toed Lizard	Uma scoparia
Reptile	Mimic Glass Lizard	Ophisaurus mimicus
Reptile	Mexican Hog-nosed Snake	Heterodon kennerlyi
Reptile	Milksnake	Lampropeltis triangulum
Reptile	Many-lined Skink	Plestiodon multivirgatus
Reptile	Mohave Rattlesnake	Crotalus scutulatus
Reptile	Mole Skink	Plestiodon egregius
Reptile	Mexican Plateau Slider	Trachemys gaigeae
Reptile	Mississippi Green Watersnake	Nerodia cyclopion
Reptile	Mountain Skink	Plestiodon callicephalus
Reptile	Northern Alligator Lizard	Elgaria coerulea
Reptile	North American Racer	Coluber constrictor
Reptile	Narrow-headed Gartersnake	Thamnophis rufipunctatus
Reptile	New Mexico Threadsnake	Leptotyphlops dissectus
Reptile	Northern Map Turtle	Graptemys geographica
Reptile	New Mexico Whiptail	Aspidoscelis neomexicana
Reptile	Northern Red-bellied Cooter	Pseudemys rubriventris
Reptile	Northern Rubber Boa	Charina bottae
Reptile	Northern Watersnake	Nerodia sipedon
Reptile	Northwestern Gartersnake	Thamnophis ordinoides
Reptile	Ornate Box Turtle	Terrapene ornata
Reptile	Ouachita Map Turtle	Graptemys ouachitensis
Reptile	Olive Ridley Sea Turtle	Lepidochelys olivacea
Reptile	Orange-throated Whiptail	Aspidoscelis hyperythra
Reptile	Ornate Tree Lizard	Urosaurus ornatus
Reptile	Panamint Alligator Lizard	Elgaria panamintina
Reptile	Pai Striped Whiptail	Aspidoscelis pai
Reptile	Painted Turtle	Chrysemys picta
Reptile	Plains Black-headed Snake	Tantilla nigriceps
Reptile	Plain-bellied Watersnake	Nerodia erythrogaster
Reptile	Peninsula Cooter	Pseudemys peninsularis
Reptile	Plateau Fence Lizard	Sceloporus tristichus
Reptile	Plains Hog-nosed Snake	Heterodon nasicus
Reptile	Black Pinesnake	Pituophis melanoleucus lodingi
Reptile	Florida Pinesnake	Pituophis melanoleucus mugitus
Reptile	Pinesnake	Pituophis melanoleucus
Reptile	Plains Gartersnake	Thamnophis radix
Reptile	Plateau Striped Whiptail	Aspidoscelis velox
Reptile	Peninsular Leaf-toed Gecko	Phyllodactylus nocticolus
Reptile	Plateau Spotted Whiptail	Aspidoscelis scalaris
Reptile	Pascagoula Map Turtle	Graptemys gibbonsi
Reptile	Pond Slider	Trachemys scripta
Reptile	Pygmy Rattlesnake	Sistrurus miliarius
Reptile	Prairie Rattlesnake	Crotalus viridis
Reptile	Prairie Skink	Plestiodon septentrionalis
Reptile	Pygmy Short-horned Lizard	Phrynosoma douglasii
Reptile	Pine Woods Littersnake	Rhadinaea flavilata
